ID,Category,Difficulty,Customer Prompt,Reference Answer
18,Account Management,Easy,"I am getting an error saying 'Username already exists' during signup.","This means another user has registered that username. Please try a different username, or use your email address to sign up instead."
19,Orders & Delivery,Easy,"Where is my order?","Track your order using the tracking number provided in your confirmation email."
20,Orders & Delivery,Easy,"My package hasn't arrived yet.","Check the tracking information. If the estimated delivery date has passed, contact customer support for assistance."
21,Orders & Delivery,Medium,"I received the wrong product in my order.","Contact customer support with your order number and photos of the received item to arrange a replacement or refund."
22,Orders & Delivery,Medium,"My package arrived damaged.","Report the damage immediately, provide photos, and request a replacement or refund according to the return policy."
23,Orders & Delivery,Medium,"Can I change my delivery address after placing the order?","Address changes may be possible before shipping. Contact customer support as soon as possible."
24,Orders & Delivery,Hard,"My order shows delivered, but I never received it.","Verify the delivery address, check with neighbours or your building reception, and contact customer support to investigate with the courier."
25,Orders & Delivery,Medium,"My order was split into multiple shipments. Why?","Orders are sometimes split if items are stocked in different warehouses or if some items are backordered. You can track each shipment separately using the tracking links provided."
26,Orders & Delivery,Easy,"How do I cancel my order?","Go to 'My Orders' in your account, and if the order hasn't shipped yet, click the 'Cancel Order' button. If it has shipped, you will need to initiate a return once it arrives."
27,Orders & Delivery,Medium,"I requested a cancellation, but my order shipped anyway.","If an order is already in the fulfillment pipeline, it cannot be canceled. Please refuse the delivery or use the provided return label to return the package for a refund once it arrives."
28,Orders & Delivery,Medium,"Why was I charged customs fees for my international delivery?","International shipments may be subject to customs duties and import taxes set by the destination country's government. These fees are the responsibility of the recipient."
29,Orders & Delivery,Easy,"My tracking link hasn't updated in three days.","Couriers sometimes miss scans during transit. If the status does not update for more than 5 business days, please contact support so we can file an inquiry with the carrier."
30,Orders & Delivery,Medium,"The courier refused to deliver my package. What should I do?","This can happen if the delivery requires a signature or if access is restricted. Contact the courier using your tracking ID to schedule a redelivery or hold at a pickup location."
31,Orders & Delivery,Hard,"My package is being returned to sender due to an incorrect address.","Once the package returns to our warehouse, we will issue a refund or reship the order. Please contact support to provide the correct address and arrange the reshipment."
32,Orders & Delivery,Medium,"An item is missing from the package I received.","Please verify if your order was split into multiple shipments. If not, contact support with your order number and a photo of the packing slip to get the missing item shipped."
33,Orders & Delivery,Medium,"Can I schedule a specific date and time for my delivery?","Standard shipping does not support scheduled delivery windows. You can manage your delivery options directly through the courier's tracking page (e.g., FedEx Delivery Manager)."
34,Orders & Delivery,Hard,"I won't be home to sign for my package. Can I waive the signature?","High-value shipments require a signature for security. You can authorize a release or redirect the package to a local courier pickup point using their tracking app."
35,Orders & Delivery,Hard,"My package was stolen from my porch after delivery.","Please file a report with your local police and contact customer support with the case number so we can initiate a claim and assist you with a replacement or refund."
36,Orders & Delivery,Easy,"Can I pick up my order from a local store?","If local pickup is available, select the 'Store Pickup' option at checkout. You will receive an email notification when your order is ready for pickup."
37,Refunds & Returns,Easy,"How do I request a refund?","Submit a refund request through your account or contact customer support with your order number."
38,Refunds & Returns,Medium,"I was charged twice for the same purchase.","Contact customer support with your payment details so they can investigate and process the duplicate charge refund if confirmed."
39,Refunds & Returns,Easy,"What is your return policy window?","You can return most items within 30 days of delivery for a full refund or exchange. Items must be in their original, unused condition."
40,Refunds & Returns,Medium,"My return was delivered, but I haven't received my refund.","Returns are processed within 5-7 business days of arrival at our warehouse. Once processed, the refund will take 3-5 days to show in your bank account."
41,Refunds & Returns,Easy,"Can I return a gift that was purchased for me?","Yes, you can return a gift for store credit. Please contact customer support with the order number or the buyer's details to initiate the process."
42,Refunds & Returns,Easy,"Do I have to pay for return shipping?","We offer free returns for defective or incorrect items. For change-of-mind returns, a return shipping fee will be deducted from your final refund amount."
43,Refunds & Returns,Medium,"I bought a digital product by mistake. Can I get a refund?","Digital downloads are generally non-refundable once accessed or downloaded. If you have not downloaded the file, contact support to request an exception."
44,Refunds & Returns,Easy,"Can I get my refund as store credit instead of back to my card?","Yes, you can select 'Store Credit' during the return flow. Store credit is issued instantly upon package scan by the courier."
45,Refunds & Returns,Easy,"I don't have a printer to print the return label. What do I do?","Select the 'QR Code' return option at checkout. You can show the QR code on your phone at a local shipping drop-off location, and they will print the label for you."
46,Refunds & Returns,Medium,"Can I return clearance or final sale items?","Items marked as 'Final Sale' or purchased from clearance events cannot be returned or refunded unless they arrive defective."
47,Refunds & Returns,Medium,"I returned part of my order. Why was I refunded less than expected?","Please check your invoice. The refund will exclude any original shipping fees, promotional discounts that no longer apply, or return shipping fees."
48,Refunds & Returns,Easy,"I want to exchange my item for a different size. How?","Initiate a return for the original item in your account and select 'Exchange' to choose your new size. The exchange order will ship once the return package is scanned."
49,Refunds & Returns,Hard,"The courier lost my return package. Can I still get a refund?","If you used our pre-paid return label, the shipment is insured. Please contact support with your drop-off receipt to proceed with your refund."
50,Refunds & Returns,Medium,"It has been 35 days since my purchase. Can I still make a return?","We have a strict 30-day return policy. However, contact customer support to request a manager's exception for store credit."
51,Refunds & Returns,Hard,"My refund was sent to an expired credit card. What should I do?","Refunds must go back to the original payment method. Your bank will automatically route the funds to your new card or bank account. If not, contact your bank."
52,Refunds & Returns,Medium,"Can I return an item without its original packaging?","To receive a full refund, items should be returned in original packaging. Returns missing packaging may incur a restocking fee or be rejected."
53,Refunds & Returns,Hard,"I want to dispute the refund amount I received.","Please reply directly to the refund confirmation email with your order details and an explanation of the discrepancy so support can review it."
54,Refunds & Returns,Easy,"Can I return an online order at a physical retail store?","Yes, you can return online purchases to any of our retail stores. Bring the item along with the order confirmation email or invoice."
55,Billing & Subscriptions,Easy,"How do I update my credit card details for subscription renewal?","Log into your account, navigate to Settings > Billing, and click 'Update Payment Method'. Enter your new card details and save changes."
56,Billing & Subscriptions,Easy,"How do I cancel my monthly subscription?","Go to Settings > Subscriptions, click 'Manage Subscription', and select 'Cancel'. You will retain access until the end of your current billing period."
57,Billing & Subscriptions,Easy,"When is my next subscription billing date?","You can find your renewal date under Settings > Subscriptions in your account dashboard."
58,Billing & Subscriptions,Easy,"How do I switch from a monthly billing plan to an annual plan?","Navigate to Settings > Billing > Plan, select the Annual option, and confirm. The switch will take effect on your next renewal date."
59,Billing & Subscriptions,Easy,"Where can I download my invoice or receipt?","Go to Settings > Billing > Billing History. Click the download icon next to any invoice to save it as a PDF."
60,Billing & Subscriptions,Easy,"What is the difference between the Free, Pro, and Enterprise pricing plans?","Free offers basic features. Pro adds advanced analytics and priority support. Enterprise includes custom integrations and dedicated managers."
61,Billing & Subscriptions,Medium,"I see an unrecognized charge on my credit card. What should I do?","Check if a family member made the purchase or if you have a recurring subscription. If not, contact support with the date and amount of the charge."
62,Billing & Subscriptions,Medium,"How do I apply a student discount to my subscription?","Submit proof of enrollment (e.g., student ID or institutional email) to our support portal. Once verified, the discount will apply to your next invoice."
63,Billing & Subscriptions,Medium,"My subscription renewal payment failed. How do I retry?","Update your payment method in Billing settings. Our system will automatically re-attempt the transaction within 24 hours."
64,Billing & Subscriptions,Medium,"Can I pause my subscription temporarily instead of canceling?","Yes, go to Subscriptions settings, select 'Manage', and click 'Pause Subscription'. You can pause it for up to 3 months."
65,Billing & Subscriptions,Medium,"I forgot to cancel my subscription and was charged. Can I get a refund?","We offer a 7-day grace period for renewals. Contact customer support within 7 days of the charge to request a refund for the unused billing cycle."
66,Billing & Subscriptions,Easy,"How do I update my billing address?","Navigate to Settings > Billing and click 'Edit Info' under Billing Details. Enter your new address and click save."
67,Billing & Subscriptions,Medium,"Why was I charged a different amount than the advertised price?","The difference is usually due to local sales tax, VAT, or currency conversion fees depending on your region and payment provider."
68,Billing & Subscriptions,Hard,"I want to consolidate multiple team subscriptions under one central billing account.","Please contact support with the list of accounts. We will configure a parent-child organization structure to compile all invoices into one."
69,Billing & Subscriptions,Hard,"My organization is tax-exempt. How do I get tax removed from my invoices?","Upload your tax-exempt certificate to the billing portal or send it to support. Once verified, we will remove taxes from future billing cycles."
70,Billing & Subscriptions,Hard,"I was charged a chargeback fee by mistake. Can it be waived?","If the dispute was opened in error and withdrawn, send us confirmation from your bank, and we will reverse the chargeback fee on your account."
71,Technical Support,Easy,"The app keeps crashing every time I open it on my phone.","Ensure your app is updated to the latest version. Try clearing the app cache, or reinstalling it from the app store."
72,Technical Support,Easy,"I am getting a '404 Page Not Found' error on the site.","This error means the page URL might be broken or moved. Go back to the homepage and search for the desired content, or clear cookies."
73,Technical Support,Easy,"How do I clear my browser's cache and cookies?","Press Ctrl+Shift+Delete (Windows) or Cmd+Shift+Delete (Mac) in your browser, select 'Cached images and files' and 'Cookies', and click 'Clear Data'."
74,Technical Support,Medium,"The desktop application is not syncing with the cloud database.","Check your internet connection, sign out of the desktop app, and sign back in to force a sync. Ensure your firewall is not blocking the app."
75,Technical Support,Medium,"The platform is loading extremely slowly today. Is there an outage?","Please check our official status page (status.example.com) for real-time reports on outages or server maintenance."
76,Technical Support,Medium,"The export PDF feature is not working when I click download.","Temporarily disable any pop-up blockers or browser extensions that might be blocking the download, and try clicking the button again."
77,Technical Support,Medium,"How do I connect the platform to Slack or Zapier?","Go to Settings > Integrations, select the app you want to connect (Slack or Zapier), and follow the authentication steps to link your workspaces."
78,Technical Support,Easy,"Does this software work in offline mode?","Yes, basic reading and local edits are supported offline. Changes will automatically sync to the cloud once an active internet connection is restored."
79,Technical Support,Hard,"I am getting an API error: 'Rate limit exceeded (429)'. What does this mean?","This means your API client has sent too many requests in a given timeframe. Please implement exponential backoff or contact support to upgrade limits."
80,Technical Support,Easy,"Where do I find the setting to enable dark mode?","Go to Settings > Appearance, and toggle the theme setting from 'Light' to 'Dark'."
81,Technical Support,Medium,"How do I export all of my account data in JSON format?","Go to Settings > Privacy & Data, select 'Export Data', choose 'JSON' format, and click 'Request Export'. You will receive a download link via email."
82,Technical Support,Easy,"Which web browsers are officially supported by your platform?","We officially support the latest stable versions of Google Chrome, Mozilla Firefox, Apple Safari, and Microsoft Edge."
83,Technical Support,Medium,"I can't hear any audio on video playbacks. How do I fix it?","Ensure your system volume is unmuted, check that the video player volume slider is turned up, and try playing the video in an incognito window."
84,Technical Support,Medium,"Why am I not receiving push notifications on my mobile app?","Go to your phone's system settings, select Apps > Our App, click Notifications, and ensure they are toggled to 'Allowed' or 'Enabled'."
85,Technical Support,Hard,"I'm getting an error 'Payload Too Large' when uploading files. What is the limit?","The maximum file size limit for uploads is 50MB. Please compress your files or split them into smaller parts before uploading again."
86,Technical Support,Hard,"My software is stuck in a boot loop after a failed update.","To resolve a boot loop, perform a clean reinstall. Uninstall the software, clear local application data folders, download the latest installer, and install."
87,Security & Privacy,Easy,"How do I set up two-factor authentication (2FA) on my account?","Go to Settings > Security, select 'Two-Factor Authentication', scan the QR code using an authenticator app (like Google Authenticator), and enter the verification code."
88,Security & Privacy,Medium,"I want to delete all my personal data under GDPR. How can I submit this request?","Go to Settings > Privacy, and click the 'Request Data Deletion (GDPR)' button. Our privacy team will process your deletion request within 30 days."
89,Security & Privacy,Medium,"I think I received a phishing email pretending to be from your company. Where do I report it?","Do not click any links in the email. Forward the suspicious email to security@example.com so our security team can investigate it."
90,Security & Privacy,Medium,"Where can I view a history of all logins to my account?","Go to Settings > Security and scroll down to the 'Login History' or 'Device Activity' section to see locations, devices, and times of recent logins."
91,Security & Privacy,Hard,"I found a security vulnerability in your application. How should I report it?","Please review our Responsible Disclosure Policy and submit the vulnerability details through our bug bounty portal or via email to security@example.com."
92,Security & Privacy,Easy,"How can I prevent other users from seeing my email address in the search directory?","Go to Settings > Privacy, and toggle off 'Show email in directory' to keep your email hidden from other users."
93,Security & Privacy,Medium,"How do I customize my session timeout settings?","Go to Settings > Security, navigate to Session Management, and set the duration of inactivity required before the app automatically logs you out."
94,Security & Privacy,Easy,"I logged into my account from a public computer and forgot to log out. What do I do?","Go to Security settings from a secure device, view 'Active Sessions', and click 'Log Out of All Devices' to terminate all active sessions."
95,Security & Privacy,Easy,"How can I disable tracking cookies on your website?","Click on the cookie settings banner at the bottom of the page or go to Privacy Settings, and toggle off non-essential tracking cookies."
96,Security & Privacy,Medium,"How do I revoke API token access for a third-party app I no longer use?","Go to Settings > Authorized Apps, find the application you wish to disconnect, and click 'Revoke Access'."
97,Security & Privacy,Medium,"I received an alert that my account was logged into from an unrecognized device.","If this was not you, change your password immediately, verify your account details are correct, and log out of other active sessions in Security settings."
98,Security & Privacy,Easy,"What are your requirements for creating a secure password?","Passwords must be at least 12 characters long and include a mix of uppercase and lowercase letters, numbers, and special characters."
99,Security & Privacy,Hard,"Someone has logged into my account and changed the 2FA key. How can I log them out?","Please submit an emergency account lock request via our login help page. We will freeze active sessions and initiate identity verification."
100,Security & Privacy,Medium,"Is my personal data encrypted when stored on your servers?","Yes, all customer data is encrypted in transit using TLS 1.3 and at rest using AES-256 encryption standards to ensure data privacy."
