Model Label,Model ID,Model Size,Developer,ID,Category,Difficulty,Prompt,Reference Answer,Response,Latency,Generated Tokens,Response Length,Tokens/sec,GPU Peak Memory GB,CPU Process Memory GB,BERTScore Precision,BERTScore Recall,BERTScore F1,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,Inference Cost Score,Accuracy,Relevance,Completeness,Helpfulness
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,11,Account Management,Easy,How do I link my account to Facebook or Google?,"Go to Account Settings, navigate to Linked Accounts, and select the service you want to link. Follow the authentication prompts to complete the link.","To link your account to Facebook or Google, please follow these steps:

1. Log in to your account.
2. Go to the settings or account section.
3. Look for the option to link your account with Facebook or Google.
4. Follow the on-screen instructions to connect your account.

Please note that the exact steps may vary depending on the platform you are using. If you need further assistance, please let us know.",3.7091832739999973,95,72,25.612107297559238,7.177791595458984,2.9006729125976562,0.8568516,0.90091527,0.8783311,0.30927835051546393,0.08421052631578947,0.22680412371134018,0.009486871212827241,26.62374453013422,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,12,Account Management,Easy,How can I permanently delete my account?,"Go to your account settings, select 'Delete Account' or 'Close Account', and confirm the action. Note that this action is permanent and cannot be undone.","To permanently delete your account, please follow these steps:

1. Log in to your account on our website or app.
2. Go to the ""Settings"" or ""Account"" section.
3. Look for an option that says ""Delete Account"" or ""Permanently Delete Account.""
4. Click on the option and follow the on-screen instructions to confirm your decision.

Please note that once your account is deleted, it cannot be recovered. If you have any further questions or concerns, feel free to reach out to our customer support team.",4.525849924000113,119,85,26.29340389060524,7.186100006103516,2.900684356689453,0.858215,0.9155999,0.8859791,0.32432432432432434,0.12844036697247707,0.2702702702702703,0.017728123569857736,32.52321016648081,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,13,Account Management,Medium,I have two accounts by mistake. Can I merge them?,"Accounts cannot be merged directly. Please decide which account you wish to keep, and transfer any data or subscription manually, or contact support for help with paid features.","Yes, you can merge your accounts. Please follow these steps:

1. Log in to both accounts.
2. Go to the settings or account management section.
3. Look for an option to merge or consolidate accounts.
4. Follow the instructions provided to complete the merge process.

If you encounter any issues during the process, please contact our customer support team for assistance.",3.2034619240000666,84,61,26.221632094540936,7.174013614654541,2.9007034301757812,0.8496742,0.8727427,0.861054,0.2696629213483146,0.0,0.20224719101123598,0.005315690997461588,22.981679456803906,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,14,Account Management,Medium,My account was suspended. How do I reactivate it?,"Please check your email for the suspension notice which details the reason and steps to appeal. If no email was received, contact support.","I'm sorry to hear that your account has been suspended. To reactivate your account, please follow these steps:

1. Visit our website and log in to your account.
2. Navigate to the ""Help"" or ""Support"" section.
3. Select ""Account Suspension"" from the dropdown menu.
4. Follow the instructions provided to reactivate your account.

If you encounter any issues or need further assistance, please don't hesitate to contact our customer support team.",4.361989353999888,113,71,25.90561113964674,7.185722351074219,2.9007110595703125,0.81135297,0.8538213,0.8320456,0.22916666666666663,0.0,0.1875,0.004162420118136847,31.344044396184792,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,15,Account Management,Easy,How do I update my profile picture and display name?,"Navigate to your profile settings, click on your profile picture to upload a new image, edit the name field, and click 'Save Changes'.","To update your profile picture and display name, please follow these steps:

1. Log in to your account on our website or app.
2. Navigate to your profile settings (usually represented by a gear icon or your profile picture).
3. Look for the ""Edit Profile"" or ""Update Profile"" option.
4. Click on it to access the profile editing page.
5. Find the sections for ""Profile Picture"" and ""Display Name.""
6. Upload a new profile picture by clicking on the current image and selecting a new one from your device.
7. Enter your desired display name in the designated field.
8. Save your changes by clicking the ""Save"" or """,5.729314644999931,150,109,26.181141950531117,7.233949661254883,2.900726318359375,0.8533681,0.9192579,0.88508844,0.3511450381679389,0.13953488372093023,0.2595419847328244,0.03706509871421456,41.44557373541989,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,16,Account Management,Easy,How do I update the phone number registered to my account?,"Go to Account Settings, select Security, click 'Edit' next to your phone number, enter the new number, and verify it via the SMS code sent to you.","To update your phone number, please follow these steps:

1. Log in to your account on our website or mobile app.
2. Navigate to the ""Account Settings"" or ""Profile"" section.
3. Locate the ""Contact Information"" or ""Personal Details"" section.
4. Find the ""Phone Number"" field and enter your new phone number.
5. Save the changes by clicking the ""Save"" or ""Update"" button.

If you encounter any issues or need further assistance, please don't hesitate to contact our customer support team.",4.7461990450001394,124,80,26.126169346105954,7.189121246337891,2.9008827209472656,0.8504062,0.8933337,0.8713416,0.2962962962962963,0.07547169811320756,0.18518518518518517,0.01717128843826259,34.12100039375911,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,17,Account Management,Hard,I need to transfer the ownership of my business account to a colleague.,"Go to Account Settings, navigate to Users or billing, and invite the new owner. Once they accept, you can assign them the 'Owner' role and downgrade your access.","To transfer the ownership of your business account, you will need to follow these steps:

1. Contact your bank or financial institution to inquire about their specific process for transferring account ownership.
2. Gather necessary documentation, such as a copy of the account agreement, proof of identity, and any other required forms.
3. Fill out the required forms and submit them to your bank or financial institution.
4. Your bank or financial institution will review the transfer request and may require additional information or verification.
5. Once the transfer is approved, your colleague will receive the necessary credentials to access the account.

Please note that the exact process may vary depending on your bank or financial institution, so it",5.711510218000058,150,119,26.26275613186664,7.233949661254883,2.900890350341797,0.82106054,0.85783577,0.8390454,0.17687074829931976,0.0,0.14965986394557823,0.002756322094390396,41.31677740675532,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,18,Account Management,Easy,I am getting an error saying 'Username already exists' during signup.,"This means another user has registered that username. Please try a different username, or use your email address to sign up instead.","I'm sorry to hear that you're encountering this issue. It seems like the username you're trying to use is already taken. Could you please try choosing a different username that's not currently in use? If you're unsure which usernames are taken, you can check the availability by logging into the system with a different account or by using the username availability checker if your platform provides one.",3.4238191789997927,90,67,26.28643491222334,7.1774139404296875,2.900928497314453,0.8432452,0.88659906,0.8643788,0.2553191489361702,0.06521739130434782,0.21276595744680854,0.008120718936539166,24.574167504863638,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,19,Orders & Delivery,Easy,Where is my order?,Track your order using the tracking number provided in your confirmation email.,"I'm sorry to hear that you're having trouble locating your order. To assist you better, could you please provide me with your order number or the email address associated with your purchase? Once I have that information, I'll be able to track your order and provide you with the current status.",2.4795014230001016,64,51,25.81164076226359,7.163816928863525,2.9009323120117188,0.85247386,0.8937695,0.8726334,0.24242424242424243,0.0625,0.1515151515151515,0.009555383603768257,17.76269426922933,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,20,Orders & Delivery,Easy,My package hasn't arrived yet.,"Check the tracking information. If the estimated delivery date has passed, contact customer support for assistance.",I'm sorry to hear that your package hasn't arrived yet. Could you please provide me with your tracking number so I can look into this for you?,1.311238024999966,34,27,25.92969342846878,7.15362024307251,2.9009323120117188,0.85670257,0.88460636,0.87043095,0.08888888888888889,0.0,0.08888888888888889,0.008301095462822575,9.380098879126175,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,21,Orders & Delivery,Medium,I received the wrong product in my order.,Contact customer support with your order number and photos of the received item to arrange a replacement or refund.,I apologize for the inconvenience. Could you please provide your order number so we can assist you further?,0.9438135340001281,24,18,25.428751692383276,7.150221347808838,2.9009323120117188,0.86896586,0.8717575,0.8703595,0.21621621621621623,0.11428571428571428,0.16216216216216214,0.05434528347835023,6.748475679158618,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,22,Orders & Delivery,Medium,My package arrived damaged.,"Report the damage immediately, provide photos, and request a replacement or refund according to the return policy.","I'm sorry to hear that your package arrived damaged. To assist you further, could you please provide your order number and a photo of the damaged item? We will investigate the issue and ensure you receive a replacement or a refund as per our policy.",2.105450724999855,55,45,26.122672616811673,7.16079568862915,2.9009361267089844,0.8812083,0.9220258,0.90115505,0.380952380952381,0.09836065573770493,0.28571428571428575,0.027347130611442165,15.076702474200081,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,23,Orders & Delivery,Medium,Can I change my delivery address after placing the order?,Address changes may be possible before shipping. Contact customer support as soon as possible.,"Yes, you can change your delivery address after placing the order. Please contact our customer support team as soon as possible to update your address details. We will do our best to accommodate your request and ensure your order is delivered to the new address.",1.9543661720001637,51,45,26.09541688280702,7.161173343658447,2.9009475708007812,0.88236964,0.9337468,0.90733147,0.3050847457627119,0.14035087719298245,0.2711864406779661,0.026636207669526582,13.995554934675372,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,24,Orders & Delivery,Hard,"My order shows delivered, but I never received it.","Verify the delivery address, check with neighbours or your building reception, and contact customer support to investigate with the courier.","I'm sorry to hear that you haven't received your order. To assist you further, could you please provide me with your order number and the delivery address?",1.3316017619999911,35,27,26.28413464054896,7.155130863189697,2.9009475708007812,0.8606258,0.8642764,0.86244726,0.2857142857142857,0.0851063829787234,0.16326530612244897,0.019427446513842185,9.527784864763918,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,25,Orders & Delivery,Medium,My order was split into multiple shipments. Why?,Orders are sometimes split if items are stocked in different warehouses or if some items are backordered. You can track each shipment separately using the tracking links provided.,"I'm sorry to hear that your order was split into multiple shipments. This can happen for a few reasons, such as the size of the order exceeding the shipping limit for a single package, or the items being shipped from different locations. We'll look into this issue and ensure that your order is consolidated into one shipment if possible.",2.9002595380000002,76,59,26.204551352810686,7.170614719390869,2.9010391235351562,0.8738402,0.8854981,0.8796305,0.20224719101123598,0.0,0.11235955056179774,0.0052021967661181456,20.796643733236564,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,26,Orders & Delivery,Easy,How do I cancel my order?,"Go to 'My Orders' in your account, and if the order hasn't shipped yet, click the 'Cancel Order' button. If it has shipped, you will need to initiate a return once it arrives.","To cancel your order, please follow these steps:

1. Log in to your account on our website or mobile app.
2. Navigate to the ""My Orders"" section.
3. Locate the order you wish to cancel and click on the ""Cancel Order"" button.
4. Confirm the cancellation and any associated refunds.

If you encounter any issues or need further assistance, please don't hesitate to contact our customer support team.",3.9404870549999487,103,68,26.13890074053329,7.179302215576172,2.9011001586914062,0.8661735,0.8979801,0.8817901,0.36893203883495146,0.11881188118811882,0.3106796116504854,0.009030786730572466,28.289947444410355,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,27,Orders & Delivery,Medium,"I requested a cancellation, but my order shipped anyway.","If an order is already in the fulfillment pipeline, it cannot be canceled. Please refuse the delivery or use the provided return label to return the package for a refund once it arrives.",I apologize for the inconvenience. Let me assist you with this issue. Could you please provide me with your order number so I can investigate further and resolve the matter promptly?,1.4911610750000364,39,31,26.154116180908925,7.1573967933654785,2.901103973388672,0.8516346,0.84710246,0.84936243,0.18750000000000003,0.0,0.125,0.007998089406002313,10.67283149659668,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,28,Orders & Delivery,Medium,Why was I charged customs fees for my international delivery?,International shipments may be subject to customs duties and import taxes set by the destination country's government. These fees are the responsibility of the recipient.,"Customs fees are typically charged for international shipments to cover the cost of processing and clearing the goods through customs. These fees can vary depending on the country of origin, the value of the items, and the type of goods being shipped. If you have any specific concerns about the fees charged, I recommend contacting the shipping company directly for more information.",3.0054092010000204,79,62,26.285938025914582,7.1725029945373535,2.901111602783203,0.87472427,0.89778835,0.8861062,0.3181818181818182,0.09302325581395349,0.22727272727272727,0.012234863178833396,21.55630649398276,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,29,Orders & Delivery,Easy,My tracking link hasn't updated in three days.,"Couriers sometimes miss scans during transit. If the status does not update for more than 5 business days, please contact support so we can file an inquiry with the carrier.",I'm sorry to hear that your tracking link hasn't updated. Could you please provide me with the tracking number so I can look into this for you?,1.2980419050002183,34,27,26.19329920631051,7.1547532081604,2.9011192321777344,0.87444603,0.8628272,0.86859775,0.23728813559322037,0.03508771929824562,0.13559322033898305,0.01738444296589425,9.28716948412695,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,30,Orders & Delivery,Medium,The courier refused to deliver my package. What should I do?,This can happen if the delivery requires a signature or if access is restricted. Contact the courier using your tracking ID to schedule a redelivery or hold at a pickup location.,"I'm sorry to hear that you're experiencing issues with your package delivery. Here are a few steps you can take:

1. Contact the courier company: Reach out to the courier company directly and explain the situation. They may be able to provide more information or assist in resolving the issue.

2. Check the tracking information: Review the tracking information for your package to see if there are any updates or reasons for the refusal.

3. Contact the sender: If the package was sent by someone else, contact the sender and ask if they have any information about the delivery issue.

4. File a complaint: If the issue remains unresolved, consider filing",5.732102729999951,150,111,26.168407487700637,7.233949661254883,2.9012107849121094,0.8442805,0.8663688,0.85518205,0.20833333333333334,0.05633802816901408,0.125,0.013301837838959494,41.46574260196134,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,31,Orders & Delivery,Hard,My package is being returned to sender due to an incorrect address.,"Once the package returns to our warehouse, we will issue a refund or reship the order. Please contact support to provide the correct address and arrange the reshipment.","I'm sorry to hear that your package was returned. To assist you further, could you please provide me with the tracking number and the correct address where you would like the package to be delivered?",1.5796378509999158,41,35,25.955316260652317,7.158152103424072,2.9012184143066406,0.87979877,0.8803042,0.88005143,0.375,0.12903225806451613,0.28125000000000006,0.03930769646699871,11.30728800578333,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,32,Orders & Delivery,Medium,An item is missing from the package I received.,"Please verify if your order was split into multiple shipments. If not, contact support with your order number and a photo of the packing slip to get the missing item shipped.","I'm sorry to hear that an item is missing from your package. To assist you further, could you please provide the order number and the details of the missing item? We will investigate the issue and ensure you receive the correct items or a replacement as soon as possible.",2.150607356000137,56,49,26.039155796506275,7.162683963775635,2.901226043701172,0.88450277,0.8897,0.8870938,0.2962962962962963,0.12658227848101267,0.19753086419753085,0.030499303198719584,15.404120821200097,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,33,Orders & Delivery,Medium,Can I schedule a specific date and time for my delivery?,"Standard shipping does not support scheduled delivery windows. You can manage your delivery options directly through the courier's tracking page (e.g., FedEx Delivery Manager).","Yes, you can schedule a specific date and time for your delivery. Please provide your preferred date and time, and we will arrange it accordingly.",1.1631489569999758,31,25,26.651788503474233,7.153997898101807,2.901226043701172,0.8781699,0.8572987,0.8676087,0.19607843137254902,0.08163265306122448,0.1568627450980392,0.009009113474307318,8.321165193557135,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,34,Orders & Delivery,Hard,I won't be home to sign for my package. Can I waive the signature?,High-value shipments require a signature for security. You can authorize a release or redirect the package to a local courier pickup point using their tracking app.,"Yes, you can waive the signature requirement for your package. You can do this by contacting the delivery service directly and requesting a signature waiver. They may require you to provide a valid reason for the waiver, such as a change in your schedule or a trusted neighbor's availability to sign for the package.",2.709176426999875,71,54,26.2072264074086,7.17174768447876,2.901226043701172,0.87970805,0.89176726,0.8856966,0.2926829268292683,0.075,0.19512195121951217,0.013048028087813215,19.429529767180792,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,35,Orders & Delivery,Hard,My package was stolen from my porch after delivery.,Please file a report with your local police and contact customer support with the case number so we can initiate a claim and assist you with a replacement or refund.,"I'm sorry to hear that your package was stolen. To assist you further, could you please provide your order number and the delivery address? We will investigate the matter and take appropriate action to resolve the issue.",1.7316493010000613,45,37,25.98678610848722,7.159285068511963,2.901226043701172,0.8818209,0.8842352,0.8830265,0.2647058823529412,0.030303030303030304,0.17647058823529413,0.014496451719022625,12.397370984548916,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,36,Orders & Delivery,Easy,Can I pick up my order from a local store?,"If local pickup is available, select the 'Store Pickup' option at checkout. You will receive an email notification when your order is ready for pickup.","Yes, you can pick up your order from a local store. Please provide your order number and the store location you prefer, and we will arrange the pickup for you.",1.4046029190001263,37,30,26.341964337037428,7.155886173248291,2.9012298583984375,0.9025794,0.89935666,0.90096515,0.3272727272727273,0.07547169811320754,0.2181818181818182,0.01806193387447607,10.051178606977194,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,37,Refunds & Returns,Easy,How do I request a refund?,Submit a refund request through your account or contact customer support with your order number.,"To request a refund, please follow these steps:

1. Contact our customer support team through our website or by phone.
2. Provide your order number and the reason for the refund.
3. Our team will review your request and inform you of the next steps.
4. If approved, we will process your refund and notify you via email.",3.0090037039999515,79,58,26.254537305814253,7.170614719390869,2.9012298583984375,0.8633542,0.92489105,0.89306384,0.3287671232876712,0.11267605633802817,0.21917808219178084,0.011838429916826659,21.5764062506037,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,38,Refunds & Returns,Medium,I was charged twice for the same purchase.,Contact customer support with your payment details so they can investigate and process the duplicate charge refund if confirmed.,I apologize for the inconvenience. I will investigate the issue and ensure that the duplicate charge is removed. Could you please provide your order number and the date of the purchase?,1.4562712700001157,38,31,26.094039471091797,7.155508518218994,2.9012298583984375,0.8843591,0.89077735,0.8875566,0.24000000000000002,0.08333333333333334,0.19999999999999998,0.03550467708240432,10.420361477323421,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,39,Refunds & Returns,Easy,What is your return policy window?,"You can return most items within 30 days of delivery for a full refund or exchange. Items must be in their original, unused condition.","Our return policy window is 30 days from the date of purchase. If you're not satisfied with your purchase, you can return it within this time frame for a full refund or exchange.",1.573270513999887,42,33,26.695981159158123,7.156263828277588,2.9012298583984375,0.89982843,0.90691084,0.9033557,0.44827586206896547,0.28571428571428575,0.3448275862068966,0.17898985505005113,11.25873887143308,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,40,Refunds & Returns,Medium,"My return was delivered, but I haven't received my refund.","Returns are processed within 5-7 business days of arrival at our warehouse. Once processed, the refund will take 3-5 days to show in your bank account.","I'm sorry to hear that you haven't received your refund yet. To assist you further, could you please provide me with your order number and the email address associated with your purchase? This will help me look into the issue and expedite the refund process for you.",2.2681274250001024,59,47,26.0126478564128,7.16570520401001,2.9013023376464844,0.8532807,0.8506813,0.851979,0.15584415584415584,0.02666666666666667,0.07792207792207792,0.01039590449594692,16.25273249268106,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,41,Refunds & Returns,Easy,Can I return a gift that was purchased for me?,"Yes, you can return a gift for store credit. Please contact customer support with the order number or the buyer's details to initiate the process.","Yes, you can return a gift that was purchased for you. However, the return policy may vary depending on the retailer. It's best to check the return policy of the specific store where the gift was purchased.",1.8412938619999295,47,37,25.525529069515684,7.15966272354126,2.9013023376464844,0.8941679,0.88767385,0.8909091,0.40625000000000006,0.16129032258064516,0.37499999999999994,0.14598906515183774,13.183043026846219,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,42,Refunds & Returns,Easy,Do I have to pay for return shipping?,"We offer free returns for defective or incorrect items. For change-of-mind returns, a return shipping fee will be deducted from your final refund amount.","No, you do not have to pay for return shipping. Our policy allows for free returns within 30 days of purchase.",1.0570120730001236,28,21,26.489763660435244,7.152109622955322,2.9013023376464844,0.90078473,0.8809713,0.8907679,0.2978723404255319,0.08888888888888889,0.12765957446808512,0.019913797194009937,7.559866218884137,,,,
